DateTime,Precipitation,Temperature,Wind_speed,Humidity,Load
2020/1/1 0:00,0,3.815,5.565,74.9025,436.4834582
2020/1/1 1:00,0,3.7775,5.495,75.175,426.8822957
2020/1/1 2:00,0,3.7675,5.625,76.34,403.6138278
2020/1/1 3:00,0,3.8025,5.285,78.255,384.7519455
2020/1/1 4:00,0,3.835,5.245,78.92,383.6478502
2020/1/1 5:00,0,3.895,4.7,79.3675,389.1245088
2020/1/1 6:00,0,4.0075,4.785,79.4375,411.5953307
2020/1/1 7:00,0,4.245,5.02,78.75,452.2957198
2020/1/1 8:00,0,4.6375,4.8625,77.6225,533.7402481
2020/1/1 9:00,0,5.07,4.8925,77.435,572.4611138
2020/1/1 10:00,0,5.715,5.3,76.3775,579.9562111
2020/1/1 11:00,0,6.27,5.85,75.8425,561.6001848
2020/1/1 12:00,0,6.67,6.41,75.7325,562.7723784
2020/1/1 13:00,0.0025,7.07,6.365,74.8025,563.8716051
2020/1/1 14:00,0.01,7.3075,6.0725,75.7775,541.5078016
2020/1/1 15:00,0.0075,7.3475,6.5575,75.7275,537.2859874
2020/1/1 16:00,0.01,7.3675,7.42,76.5375,553.1322665
2020/1/1 17:00,0.01,7.2675,7.335,78.73,548.375501
2020/1/1 18:00,0.01,7.3225,7.24,79.2125,552.4270379
2020/1/1 19:00,0.005,7.38,7.37,80.5125,543.1322957
2020/1/1 20:00,0,7.3575,7.735,82.36,517.9669309
2020/1/1 21:00,0,7.2,7.855,82.8825,499.1634144
2020/1/1 22:00,0,7.0475,7.975,83.4225,481.3764737
2020/1/1 23:00,0,6.92,8.0175,83.905,458.3803502
2020/1/2 0:00,0,6.85,7.93,84.2825,423.7208171
2020/1/2 1:00,0,6.78,7.625,84.6675,403.2441732
2020/1/2 2:00,0,6.725,7.145,84.8925,386.9552675
2020/1/2 3:00,0,6.71,7.0075,84.83,390.8657636
2020/1/2 4:00,0,6.5675,6.87,85.585,385.5933755
2020/1/2 5:00,0,6.34,6.8025,86.935,403.4873638
2020/1/2 6:00,0,6.32,7.07,86.9,439.6060457
2020/1/2 7:00,0,6.3,7.4875,86.87,521.7315175
2020/1/2 8:00,0,6.34,7.55,86.7725,646.5466926
2020/1/2 9:00,0,6.5975,7.64,85.7325,693.3171352
2020/1/2 10:00,0,6.94,7.5075,84.1775,723.9445525
2020/1/2 11:00,0,7.105,7.1025,83.6025,663.7986235
2020/1/2 12:00,0,7.325,7.1,82.4275,679.4990272
2020/1/2 13:00,0,7.54,7.2475,81.3275,678.6575973
2020/1/2 14:00,0,7.635,6.9125,80.85,668.6040759
2020/1/2 15:00,0,7.5075,7.075,81.355,659.7519553
2020/1/2 16:00,0,7.2625,7.69,81.8525,660.2480739
2020/1/2 17:00,0,6.94,7.48,82.32,622.7334825
2020/1/2 18:00,0,6.845,7.7725,82.725,600.7490126
2020/1/2 19:00,0,6.7475,8.0675,83.1675,590.8900535
2020/1/2 20:00,0,6.64,8.205,84.25,563.4873444
2020/1/2 21:00,0,6.5075,8.1,85.6,528.3560311
2020/1/2 22:00,0,6.3775,7.7675,85.555,525.6711965
2020/1/2 23:00,0,6.255,7.275,85.6225,486.6634387
2020/1/3 0:00,0,6.135,7.38,85.86,458.3560117
2020/1/3 1:00,0,6.0225,7.86,85.2575,443.0447374
2020/1/3 2:00,0.0025,5.925,7.6325,84.97,424.4163375
2020/1/3 3:00,0.01,5.865,6.675,86.66,417.7091488
